Reaction,N,C,SubS,Solvent,H-X-CNu,AverageL2,exp-ee,iminium,solvent,catalyst,nucleophile,
356,-0.434,0.471,-0.482,3,180,4.71,-0.17,iminium-54-E,benzene,"2,4,6-i PrC6H12","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
360,-0.425,0.472,-0.472,3,180,4.71,-0.01,iminium-58-E,benzene,"2,4,6-i PrC6H16","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
141,-0.442,0.250,0.242,3.021,180,2.58,1.13,iminium-149-E,toluene,1-Naphthyl,hydrogen cyanide,
142,-0.442,0.250,0.242,3.021,180,2.58,0.31,iminium-149-E,toluene,2-Napthyl,hydrogen cyanide,
143,-0.442,0.250,0.242,3.021,180,2.58,0.37,iminium-149-E,toluene,"3,5-(CF3)2C6H3",hydrogen cyanide,
145,-0.442,0.250,0.242,3.021,180,2.58,1.54,iminium-149-E,toluene,9-Phenanthryl,hydrogen cyanide,
140,-0.442,0.250,0.242,3.021,180,2.58,0.64,iminium-149-E,toluene,4-PhC6H4,hydrogen cyanide,
150,-0.442,0.25,0.242,2.297,180,2.58,0,iminium-149-E,THF,9-Phenanthryl,hydrogen cyanide,
77,-0.530,0.304,0.256,3.021,180,4.71,1.94,iminium-103-E,toluene,"2,4,6-i PrC6H2",dimethyl (diazomethyl)phosphonate,
35,-0.533,0.306,0.255,3.021,180,4.71,1.61,iminium-87-E,toluene,"2,4,6-i PrC6H2",PhSH,
156,-0.433,0.256,0.243,3.021,180,2.58,1.16,iminium-143-E,toluene,9-Phenanthryl,hydrogen cyanide,
107,-0.529,0.306,0.257,3.021,180,4.71,1.47,iminium-163-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
159,-0.425,0.194,0.261,3.021,180,2.58,1.32,iminium-146-E,toluene,9-Phenanthryl,hydrogen cyanide,
163,-0.429,0.262,0.244,3.021,180,2.58,1.23,iminium-150-E,toluene,9-Phenanthryl,hydrogen cyanide,
165,-0.423,0.259,0.247,3.021,180,2.58,1.2,iminium-152-E,toluene,9-Phenanthryl,hydrogen cyanide,
202,-0.422,0.289,0.754,3.021,180,9.12,1.88,iminium-122-E,toluene,9-Anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
7,-0.533,0.306,0.255,3.401,180,9.12,1.96,iminium-87-E,ethyl acetate,9-anthryl,BnOH,
204,-0.422,0.289,0.754,3.021,180,9.12,1.88,iminium-122-E,toluene,9-Anthryl,"Di-t-butyl 2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate",
3,-0.533,0.306,0.255,3.401,180,9.12,1.63,iminium-87-E,ethyl acetate,9-anthryl,iPrOH,
15,-0.541,0.296,0.254,3.401,180,9.12,1.81,iminium-92-E,ethyl acetate,9-anthryl,MeOH,
176,-0.533,0.303,0.253,3.715,180,2.58,1.45,iminium-73-E,iPrOAc,9-Phenanthryl,tert-Butyl hydroperoxide,
186,-0.552,0.275,0.252,3.715,180,2.58,1.74,iminium-83-E,iPrOAc,9-Phenanthryl,tert-Butyl hydroperoxide,
20,-0.515,0.363,0.249,3.401,180,9.12,0.92,iminium-96-E,ethyl acetate,9-anthryl,MeOH,
22,-0.533,0.306,0.255,2.583,180,2.58,0.54,iminium-87-E,ether,"3,5-(CF3)2C6H3",PhSH,
23,-0.533,0.306,0.255,2.583,180,3.61,0.45,iminium-87-E,ether,"2,4,6-MeC6H2",PhSH,
8,-0.533,0.306,0.255,3.401,180,9.12,1.81,iminium-87-E,ethyl acetate,9-anthryl,CH2CHCH2CH2CH2CH2OH,
25,-0.533,0.306,0.255,2.297,180,4.71,0.56,iminium-87-E,THF,"2,4,6-i PrC6H2",PhSH,
27,-0.533,0.306,0.255,3.021,180,4.71,3.13,iminium-87-E,toluene,"2,4,6-i PrC6H2",PhSH,
31,-0.533,0.306,0.255,3.021,180,4.71,3.03,iminium-87-E,toluene,"2,4,6-i PrC6H2",PhSH,
34,-0.533,0.306,0.255,3.021,180,4.71,1.8,iminium-87-E,toluene,"2,4,6-i PrC6H2",PhSH,
33,-0.533,0.306,0.255,3.021,180,4.71,2.48,iminium-87-E,toluene,"2,4,6-i PrC6H2",PhSH,
38,-0.536,0.295,0.256,3.021,180,4.71,3.13,iminium-90-E,toluene,"2,4,6-i PrC6H2",PhSH,
10,-0.533,0.306,0.255,3.401,180,9.12,1.96,iminium-87-E,ethyl acetate,9-anthryl,"(3,4-OMeC6H3)CH2CH2OH",
132,-0.533,0.294,0.257,3.752,180,9.12,2.72,iminium-113-E,DCM,9-anthryl,"2-diazo-N-(3,5-dichlorophenyl)acetamide",
181,-0.533,0.295,0.254,3.715,180,2.58,2.72,iminium-78-E,iPrOAc,9-Phenanthryl,tert-Butyl hydroperoxide,
137,-0.530,0.304,0.256,3.752,180,9.12,2.3,iminium-103-E,DCM,9-anthryl,2-diazo-N-(3-methoxyphenyl)acetamide,
39,-0.536,0.295,0.256,3.021,180,4.71,3.13,iminium-88-E,toluene,"2,4,6-i PrC6H2",PhSH,
48,-0.533,0.306,0.255,3.021,180,4.71,0.82,iminium-87-E,toluene,"2,4,6-i PrC6H2","3,5-(CF3)2C6H3",
211,-0.419,0.301,0.766,2.583,180,9.12,2.17,iminium-128-E,diethyl ether,9-Anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
1,-0.533,0.306,0.255,3.401,180,9.12,2.06,iminium-87-E,ethyl acetate,9-anthryl,MeOH,
182,-0.533,0.295,0.254,3.715,180,2.58,2.72,iminium-79-E,iPrOAc,9-Phenanthryl,tert-Butyl hydroperoxide,
55,-0.405,0.243,0.226,3.021,180,2.58,0.28,iminium-61-E,toluene,Ph,diethyl phosphate,
